example_id,source,split,model_name,task,train_loss,validation_loss,train_metric,validation_metric,learning_rate,epochs,additional_information,diagnosis,evidence,next_experiment
synthetic_v3_overfitting_021,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.382, 1.207, 1.039, 0.879, 0.729, 0.588, 0.458, 0.34, 0.237, 0.154, 0.103]","[1.441, 0.745, 0.321, 0.391, 0.459, 0.527, 0.593, 0.657, 0.72, 0.779, 0.83]","[0.462, 0.531, 0.598, 0.661, 0.721, 0.777, 0.829, 0.876, 0.916, 0.95, 0.97]","[0.452, 0.693, 0.84, 0.81, 0.78, 0.75, 0.722, 0.694, 0.666, 0.641, 0.618]",0.002353,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",The best validation checkpoint occurred before the final epoch.,overfitting,"After epoch 3, training continued improving to 0.103 loss, but validation loss moved in the opposite direction and finished at 0.830.",Restore the checkpoint from epoch 3 and test early stopping.
synthetic_v3_insufficient_evidence_048,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.269, 1.037, 0.857, 0.73, 0.635]","[1.329, 1.099, 0.905, 0.768, 0.693]","[0.616, 0.576, 0.536, 0.496, 0.456]","[0.603, 0.548, 0.516, 0.477, 0.44]",0.001,"[1, 2, 3, 4, 5]",No learning-rate scheduler was enabled.,insufficient_evidence,"The losses improve but both recorded metrics become worse, so the logs are contradictory and may use an unknown metric direction or contain a logging error.","Verify the metric definition and logging code, then repeat the run before diagnosing it."
synthetic_v3_learning_rate_too_low_045,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.607, 1.601, 1.594, 1.587, 1.581, 1.574, 1.567, 1.561, 1.554, 1.548, 1.541, 1.534, 1.528]","[1.667, 1.661, 1.656, 1.65, 1.644, 1.638, 1.632, 1.627, 1.621, 1.615, 1.609, 1.603, 1.598]","[0.314, 0.319, 0.324, 0.33, 0.335, 0.34, 0.345, 0.351, 0.356, 0.361, 0.367, 0.372, 0.377]","[0.304, 0.308, 0.313, 0.317, 0.322, 0.326, 0.331, 0.335, 0.339, 0.344, 0.348, 0.353, 0.357]",6.3e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",The curves moved in the correct direction at an impractically slow pace.,learning_rate_too_low,"Training loss decreased consistently by only 0.079, from 1.607 to 1.528, across 13 epochs, while the training metric improved by only 0.063.",Increase the learning rate by about 10x and run the same experiment again.
human_seed_000,human_seed,train,demo_mlp,binary_classification,"[1.10, 0.72, 0.44, 0.23, 0.11]","[1.14, 0.78, 0.56, 0.62, 0.81]","[0.51, 0.67, 0.81, 0.92, 0.97]","[0.50, 0.64, 0.76, 0.73, 0.66]",0.001,"[1, 2, 3, 4, 5]",No early stopping was used.,overfitting,"After epoch 3, training loss decreases from 0.44 to 0.11 while validation loss increases from 0.56 to 0.81.",Restore the checkpoint from epoch 3 and test early stopping.
synthetic_v3_insufficient_evidence_009,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.516, 1.235, 0.981, 0.758, 0.578, 0.468]","[1.561, 1.286, 1.037, 0.82, 0.644, 0.536]","[0.391, 0.504, 0.606, 0.695, 0.768, 0.812]",[],0.001,"[1, 2, 3, 4, 5, 6]","Validation loss exists, but the validation metric and metric definition are missing.",insufficient_evidence,"The validation metric and its definition were not recorded, so the available information is incomplete and does not support a reliable diagnosis.","Record the validation metric and its definition, then rerun the evaluation."
synthetic_v3_insufficient_evidence_014,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.567, 1.256, 0.974, 0.729, 0.529, 0.407]","[1.611, 1.307, 1.033, 0.793, 0.598, 0.479]","[0.353, 0.471, 0.578, 0.671, 0.747, 0.793]",[],0.001,"[1, 2, 3, 4, 5, 6]",Data augmentation settings stayed unchanged during training.,insufficient_evidence,"The validation metric and its definition were not recorded, so the available information is incomplete and does not support a reliable diagnosis.","Record the validation metric and its definition, then rerun the evaluation."
synthetic_v3_learning_rate_too_low_047,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.473, 1.469, 1.465, 1.46, 1.456, 1.452, 1.447, 1.443, 1.439, 1.434, 1.43, 1.426, 1.421, 1.417, 1.413, 1.408]","[1.533, 1.53, 1.526, 1.522, 1.519, 1.515, 1.511, 1.508, 1.504, 1.5, 1.497, 1.493, 1.489, 1.486, 1.482, 1.478]","[0.411, 0.414, 0.418, 0.422, 0.426, 0.429, 0.433, 0.437, 0.44, 0.444, 0.448, 0.452, 0.455, 0.459, 0.463, 0.467]","[0.401, 0.404, 0.407, 0.41, 0.414, 0.417, 0.42, 0.423, 0.426, 0.43, 0.433, 0.436, 0.439, 0.442, 0.446, 0.449]",9.7e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",The available epoch budget ended before the model reached a useful result.,learning_rate_too_low,"Despite 16 stable epochs, training loss only moved from 1.473 to 1.408, leaving performance poor within the available budget.",Raise the learning rate and compare how much progress is made in the same epoch budget.
synthetic_v3_underfitting_026,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.851, 1.786, 1.732, 1.687, 1.652, 1.625, 1.607, 1.595, 1.589, 1.588]","[1.933, 1.87, 1.817, 1.773, 1.739, 1.713, 1.695, 1.683, 1.678, 1.676]","[0.365, 0.382, 0.396, 0.408, 0.418, 0.425, 0.43, 0.433, 0.434, 0.435]","[0.358, 0.369, 0.378, 0.385, 0.391, 0.396, 0.399, 0.401, 0.402, 0.402]",0.000828,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",The same architecture was used for the complete experiment.,underfitting,"The model still performed poorly on its training data after 10 epochs, with a 0.435 training metric. Validation was similarly weak at 0.402.",Continue training and compare the result with a larger architecture using the same split.
synthetic_v3_learning_rate_too_high_045,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[0.98, 3.242, 1.419, 2.302, 1.263, 2.459, 0.99, 2.071, 1.03]","[1.115, 3.422, 1.582, 2.439, 1.394, 2.645, 1.09, 2.167, 1.197]","[0.597, 0.352, 0.466, 0.364, 0.522, 0.302, 0.516, 0.31, 0.567]","[0.569, 0.316, 0.43, 0.332, 0.485, 0.278, 0.491, 0.273, 0.544]",0.0658,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",Large loss jumps continued even though the batch size stayed fixed.,learning_rate_too_high,"Training loss repeatedly jumped from 0.980 at epoch 1 to 3.242 at epoch 2 and from 1.419 at epoch 3 to 2.302 at epoch 4, with no stable downward trend.",Lower the learning rate by about 10x and run the same experiment again.
synthetic_v3_overfitting_010,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.156, 1.008, 0.867, 0.732, 0.606, 0.487, 0.377, 0.278, 0.192, 0.122, 0.079]","[1.248, 0.697, 0.361, 0.454, 0.545, 0.635, 0.724, 0.81, 0.893, 0.972, 1.041]","[0.471, 0.54, 0.605, 0.668, 0.727, 0.782, 0.833, 0.879, 0.919, 0.951, 0.971]","[0.461, 0.678, 0.811, 0.793, 0.775, 0.757, 0.739, 0.722, 0.706, 0.69, 0.677]",0.001193,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",The optimizer state was reset before training started.,overfitting,"The generalization gap grew after epoch 3: the final training metric was 0.971, while the validation metric fell to 0.677.",Use epoch 3 as the early-stopping point and compare it with the final checkpoint.
synthetic_v3_insufficient_evidence_039,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.433, 1.172, 0.936, 0.73, 0.563, 0.461]","[1.465, 1.212, 0.984, 0.785, 0.623, 0.524]","[0.409, 0.52, 0.62, 0.707, 0.778, 0.822]",[],0.001,"[1, 2, 3, 4, 5, 6]","Validation loss exists, but the validation metric and metric definition are missing.",insufficient_evidence,"The validation metric and its definition were not recorded, so the available information is incomplete and does not support a reliable diagnosis.","Record the validation metric and its definition, then rerun the evaluation."
synthetic_v3_learning_rate_too_low_005,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.678, 1.674, 1.669, 1.664, 1.659, 1.655, 1.65, 1.645, 1.64, 1.636, 1.631, 1.626, 1.621, 1.617]","[1.738, 1.734, 1.73, 1.726, 1.722, 1.718, 1.714, 1.71, 1.706, 1.703, 1.699, 1.695, 1.691, 1.687]","[0.37, 0.373, 0.377, 0.38, 0.383, 0.387, 0.39, 0.393, 0.396, 0.4, 0.403, 0.406, 0.41, 0.413]","[0.36, 0.363, 0.366, 0.368, 0.371, 0.374, 0.377, 0.38, 0.382, 0.385, 0.388, 0.391, 0.394, 0.396]",7.4e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",The curves moved in the correct direction at an impractically slow pace.,learning_rate_too_low,"Despite 14 stable epochs, training loss only moved from 1.678 to 1.617, leaving performance poor within the available budget.",Raise the learning rate and compare how much progress is made in the same epoch budget.
synthetic_v3_healthy_010,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.783, 1.551, 1.33, 1.122, 0.927, 0.748, 0.585, 0.443, 0.328, 0.258]","[1.814, 1.589, 1.374, 1.172, 0.982, 0.808, 0.65, 0.512, 0.4, 0.331]","[0.486, 0.555, 0.62, 0.682, 0.739, 0.793, 0.841, 0.883, 0.917, 0.938]","[0.478, 0.543, 0.604, 0.662, 0.716, 0.766, 0.811, 0.851, 0.883, 0.902]",0.000601,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",The optimizer state was reset before training started.,healthy,"Both splits improved over 10 epochs. Final losses were 0.258 for training and 0.331 for validation, with final metrics of 0.938 and 0.902.",Run the same configuration with a second seed and compare the final metrics.
synthetic_v3_data_leakage_suspected_001,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[0.42, 0.323, 0.234, 0.158, 0.095, 0.057]","[0.38, 0.286, 0.2, 0.126, 0.065, 0.028]","[0.84, 0.878, 0.912, 0.942, 0.966, 0.981]","[0.88, 0.91, 0.938, 0.962, 0.981, 0.993]",0.001,"[1, 2, 3, 4, 5, 6]",The scaler and feature selector were fitted on the complete dataset before the train-validation split. Metric on a clean holdout was 0.64.,data_leakage_suspected,"Preprocessing was fitted before the split, so validation information entered the training pipeline. Validation metric was 0.993, compared with 0.640 on a clean holdout.","Rebuild the splits around independent groups, then rerun preprocessing and training."
synthetic_v3_insufficient_evidence_017,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.027, 0.774]","[1.063, 0.833]",[],[],0.001,"[1, 2]",Only two epochs and no accuracy metrics were recorded.,insufficient_evidence,"Only two epochs are available and both training and validation metrics are missing, so the early loss decrease does not support a specific diagnosis.",Collect more epochs and record training and validation metrics before diagnosing the run again.
synthetic_v3_data_leakage_suspected_035,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[0.42, 0.313, 0.217, 0.133, 0.065, 0.023]","[0.38, 0.283, 0.195, 0.119, 0.057, 0.019]","[0.84, 0.881, 0.919, 0.951, 0.978, 0.994]","[0.88, 0.911, 0.94, 0.965, 0.985, 0.997]",0.001,"[1, 2, 3, 4, 5, 6]",Source documents were divided by individual rows; paragraphs from the same documents occurred in both splits. Performance dropped to 0.66 when split by document.,data_leakage_suspected,"Paragraphs from the same source documents crossed the split boundary. The validation metric was 0.997, but a document-level holdout reached only 0.660.","Remove the overlap, retrain from scratch, and verify the result on a clean holdout."
synthetic_v3_learning_rate_too_low_022,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.549, 1.538, 1.527, 1.517, 1.506, 1.495, 1.484, 1.473, 1.462, 1.452, 1.441, 1.43, 1.419]","[1.609, 1.599, 1.589, 1.579, 1.569, 1.559, 1.549, 1.539, 1.529, 1.519, 1.509, 1.499, 1.489]","[0.416, 0.422, 0.428, 0.434, 0.44, 0.446, 0.453, 0.459, 0.465, 0.471, 0.477, 0.483, 0.489]","[0.406, 0.411, 0.416, 0.421, 0.426, 0.431, 0.436, 0.441, 0.446, 0.451, 0.456, 0.461, 0.466]",9.6e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",Batch size and optimizer settings stayed fixed during the run.,learning_rate_too_low,The curves moved in the right direction but very slowly: over 13 epochs training loss changed by just 0.130 and the metric changed by 0.073.,Try a learning rate ten times larger while keeping the other settings fixed.
synthetic_v3_data_leakage_suspected_002,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[0.42, 0.314, 0.218, 0.135, 0.067, 0.025]","[0.38, 0.281, 0.191, 0.113, 0.049, 0.01]","[0.84, 0.88, 0.916, 0.947, 0.972, 0.988]","[0.88, 0.912, 0.94, 0.965, 0.986, 0.998]",0.001,"[1, 2, 3, 4, 5, 6]",A feature audit found that the input column named target_copy exactly matched the target for every training and validation sample. Clean holdout metric was 0.61.,data_leakage_suspected,"The target_copy input feature directly revealed the target in both splits. Validation metric was 0.998, but it fell to 0.610 after removing that feature on a clean holdout.","Remove the overlap, retrain from scratch, and verify the result on a clean holdout."
synthetic_v3_learning_rate_too_low_024,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.552, 1.542, 1.531, 1.52, 1.51, 1.499, 1.488, 1.478, 1.467, 1.456, 1.446, 1.435]","[1.612, 1.603, 1.593, 1.583, 1.573, 1.564, 1.554, 1.544, 1.534, 1.525, 1.515, 1.505]","[0.408, 0.413, 0.417, 0.421, 0.426, 0.43, 0.434, 0.438, 0.443, 0.447, 0.451, 0.456]","[0.398, 0.402, 0.406, 0.409, 0.413, 0.416, 0.42, 0.423, 0.427, 0.431, 0.434, 0.438]",6.8e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Metrics were recorded once at the end of every epoch.,learning_rate_too_low,"Training loss decreased consistently by only 0.117, from 1.552 to 1.435, across 12 epochs, while the training metric improved by only 0.048.",Increase the learning rate by about 10x and run the same experiment again.
synthetic_v3_data_leakage_suspected_013,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[0.42, 0.317, 0.223, 0.142, 0.075, 0.035]","[0.38, 0.282, 0.194, 0.117, 0.054, 0.016]","[0.84, 0.881, 0.918, 0.95, 0.976, 0.992]","[0.88, 0.911, 0.938, 0.962, 0.982, 0.994]",0.001,"[1, 2, 3, 4, 5, 6]",The scaler and feature selector were fitted on the complete dataset before the train-validation split. Metric on a clean holdout was 0.64.,data_leakage_suspected,"Preprocessing was fitted before the split, so validation information entered the training pipeline. Validation metric was 0.994, compared with 0.640 on a clean holdout.","Rebuild the splits around independent groups, then rerun preprocessing and training."
synthetic_v3_data_leakage_suspected_010,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[0.42, 0.317, 0.224, 0.143, 0.077, 0.037]","[0.38, 0.283, 0.195, 0.118, 0.056, 0.018]","[0.84, 0.881, 0.917, 0.949, 0.976, 0.991]","[0.88, 0.912, 0.94, 0.965, 0.986, 0.998]",0.001,"[1, 2, 3, 4, 5, 6]",Augmentation was applied before splitting and created 71 near-identical image pairs across training and validation.,data_leakage_suspected,The audit found 71 near-duplicate augmented images shared between the training and validation splits.,"Rebuild the splits around independent groups, then rerun preprocessing and training."
synthetic_v3_healthy_038,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.419, 1.199, 0.992, 0.798, 0.619, 0.457, 0.316, 0.201, 0.131]","[1.509, 1.282, 1.069, 0.869, 0.684, 0.517, 0.371, 0.253, 0.181]","[0.413, 0.506, 0.594, 0.676, 0.752, 0.821, 0.881, 0.93, 0.959]","[0.391, 0.484, 0.572, 0.654, 0.73, 0.799, 0.859, 0.907, 0.937]",0.001135,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",No checkpoints were removed from the recorded history.,healthy,"Training and validation followed the same improving trend: losses ended at 0.131 and 0.181, while their metrics reached 0.959 and 0.937.",Repeat the experiment once more to confirm that the stable result is reproducible.
synthetic_v3_learning_rate_too_high_018,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.057, 2.337, 1.235, 3.128, 1.307, 2.514, 1.1, 2.85, 0.919]","[1.216, 2.503, 1.41, 3.217, 1.506, 2.652, 1.228, 2.991, 1.109]","[0.554, 0.298, 0.569, 0.265, 0.584, 0.297, 0.546, 0.215, 0.565]","[0.524, 0.277, 0.54, 0.254, 0.544, 0.267, 0.524, 0.182, 0.526]",0.1576,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",No checkpoints were removed from the recorded history.,learning_rate_too_high,"Training loss repeatedly jumped from 1.057 at epoch 1 to 2.337 at epoch 2 and from 1.235 at epoch 3 to 3.128 at epoch 4, with no stable downward trend.",Lower the learning rate by about 10x and run the same experiment again.
synthetic_v3_data_leakage_suspected_005,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[0.42, 0.314, 0.218, 0.134, 0.066, 0.025]","[0.38, 0.285, 0.198, 0.123, 0.062, 0.024]","[0.84, 0.878, 0.913, 0.943, 0.967, 0.982]","[0.88, 0.911, 0.939, 0.963, 0.983, 0.995]",0.001,"[1, 2, 3, 4, 5, 6]",Source documents were divided by individual rows; paragraphs from the same documents occurred in both splits. Performance dropped to 0.66 when split by document.,data_leakage_suspected,"Paragraphs from the same source documents crossed the split boundary. The validation metric was 0.995, but a document-level holdout reached only 0.660.","Remove the overlap, retrain from scratch, and verify the result on a clean holdout."
synthetic_v3_underfitting_030,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[2.04, 1.851, 1.692, 1.562, 1.459, 1.381, 1.326, 1.292, 1.275, 1.271]","[2.09, 1.912, 1.762, 1.64, 1.543, 1.47, 1.418, 1.386, 1.37, 1.366]","[0.342, 0.379, 0.41, 0.435, 0.455, 0.471, 0.481, 0.488, 0.491, 0.492]","[0.34, 0.374, 0.403, 0.427, 0.445, 0.459, 0.469, 0.476, 0.479, 0.479]",0.000901,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",The optimizer state was reset before training started.,underfitting,Training remained poor after 10 epochs: training loss was 1.271 and training metric was 0.492. Validation values were similarly poor at 1.366 loss and 0.479 metric.,"Train for more epochs and, if training remains poor, test a larger model."
synthetic_v3_overfitting_028,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.291, 1.129, 0.974, 0.827, 0.688, 0.558, 0.438, 0.33, 0.235, 0.158, 0.111]","[1.403, 0.765, 0.376, 0.495, 0.612, 0.726, 0.839, 0.949, 1.055, 1.156, 1.244]","[0.519, 0.582, 0.642, 0.699, 0.752, 0.803, 0.849, 0.891, 0.928, 0.958, 0.976]","[0.509, 0.676, 0.778, 0.769, 0.761, 0.752, 0.744, 0.736, 0.728, 0.721, 0.714]",0.000641,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",No learning-rate scheduler was enabled.,overfitting,"Validation loss reached its lowest value of 0.376 at epoch 3, then increased to 1.244, while training loss continued decreasing to 0.111.",Use epoch 3 as the early-stopping point and compare it with the final checkpoint.
synthetic_v3_learning_rate_too_high_022,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.282, 2.562, 0.903, 2.538, 1.265, 2.881, 0.923, 3.212]","[1.366, 2.674, 1.086, 2.628, 1.449, 2.975, 1.1, 3.317]","[0.561, 0.324, 0.579, 0.31, 0.514, 0.311, 0.568, 0.346]","[0.527, 0.297, 0.553, 0.282, 0.499, 0.272, 0.549, 0.319]",0.2881,"[1, 2, 3, 4, 5, 6, 7, 8]",Batch size and optimizer settings stayed fixed during the run.,learning_rate_too_high,"Loss oscillated throughout 8 epochs, including increases from 1.282 to 2.562 and from 0.903 to 2.538; the run did not converge.",Repeat the configuration with a learning rate ten times smaller.
synthetic_v3_healthy_029,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.743, 1.517, 1.302, 1.099, 0.909, 0.733, 0.575, 0.437, 0.324, 0.255]","[1.781, 1.558, 1.345, 1.144, 0.956, 0.783, 0.626, 0.49, 0.378, 0.31]","[0.405, 0.481, 0.552, 0.62, 0.683, 0.741, 0.794, 0.84, 0.877, 0.9]","[0.382, 0.455, 0.525, 0.591, 0.653, 0.709, 0.761, 0.806, 0.842, 0.865]",0.001007,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",A split audit found no overlap and both curves converged normally.,healthy,"Training and validation followed the same improving trend: losses ended at 0.255 and 0.310, while their metrics reached 0.900 and 0.865.",Repeat the experiment once more to confirm that the stable result is reproducible.
synthetic_v3_underfitting_007,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.976, 1.888, 1.814, 1.753, 1.706, 1.67, 1.644, 1.628, 1.62, 1.619]","[2.011, 1.924, 1.851, 1.792, 1.745, 1.709, 1.684, 1.669, 1.661, 1.659]","[0.335, 0.361, 0.382, 0.399, 0.413, 0.424, 0.431, 0.436, 0.438, 0.438]","[0.32, 0.34, 0.356, 0.369, 0.38, 0.388, 0.393, 0.397, 0.398, 0.399]",0.000729,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Training and validation remained close but both results were weak.,underfitting,"Both splits reached a weak plateau. Training and validation losses ended close together at 1.619 and 1.659, and neither metric exceeded 0.438.","Increase the training budget first, then try a model with more capacity if the plateau remains."
synthetic_v3_overfitting_003,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.67, 1.36, 1.071, 0.804, 0.563, 0.352, 0.18, 0.076]","[1.702, 0.85, 0.33, 0.435, 0.538, 0.637, 0.731, 0.813]","[0.5, 0.592, 0.678, 0.757, 0.828, 0.891, 0.942, 0.973]","[0.49, 0.674, 0.786, 0.761, 0.736, 0.712, 0.689, 0.669]",0.002371,"[1, 2, 3, 4, 5, 6, 7, 8]",Training kept improving after validation had started getting worse.,overfitting,"Validation performance was best at epoch 3 and became worse afterward, even though training loss kept falling to 0.076.",Restore the checkpoint from epoch 3 and test early stopping.
synthetic_v3_healthy_030,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.531, 1.347, 1.171, 1.003, 0.845, 0.697, 0.561, 0.437, 0.329, 0.242, 0.188]","[1.562, 1.378, 1.203, 1.035, 0.878, 0.893, 0.594, 0.471, 0.363, 0.276, 0.223]","[0.527, 0.587, 0.644, 0.698, 0.75, 0.798, 0.842, 0.882, 0.917, 0.946, 0.963]","[0.511, 0.567, 0.62, 0.671, 0.72, 0.715, 0.806, 0.844, 0.877, 0.903, 0.92]",0.001873,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",The optimizer state was reset before training started.,healthy,"Across 11 epochs, training loss decreased from 1.531 to 0.188 and validation loss decreased from 1.562 to 0.223. The final training and validation metrics remained close at 0.963 and 0.920.",Repeat the run with another random seed to check that the result is reproducible.
synthetic_v3_learning_rate_too_low_013,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.623, 1.619, 1.616, 1.612, 1.608, 1.605, 1.601, 1.598, 1.594, 1.59, 1.587, 1.583, 1.58, 1.576, 1.572, 1.569]","[1.683, 1.68, 1.677, 1.674, 1.671, 1.668, 1.665, 1.662, 1.659, 1.656, 1.653, 1.651, 1.648, 1.645, 1.642, 1.639]","[0.408, 0.41, 0.413, 0.416, 0.418, 0.421, 0.424, 0.426, 0.429, 0.432, 0.434, 0.437, 0.439, 0.442, 0.445, 0.447]","[0.398, 0.4, 0.402, 0.404, 0.406, 0.407, 0.409, 0.411, 0.413, 0.415, 0.417, 0.419, 0.421, 0.423, 0.425, 0.427]",9.5e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",A short pilot with a larger rate made more progress in the same number of epochs.,learning_rate_too_low,The curves moved in the right direction but very slowly: over 16 epochs training loss changed by just 0.054 and the metric changed by 0.039.,Try a learning rate ten times larger while keeping the other settings fixed.
synthetic_v3_underfitting_001,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[2.151, 1.958, 1.794, 1.656, 1.542, 1.453, 1.385, 1.338, 1.308, 1.293, 1.29]","[2.239, 2.044, 1.877, 1.737, 1.622, 1.531, 1.462, 1.414, 1.384, 1.369, 1.366]","[0.35, 0.387, 0.419, 0.446, 0.468, 0.485, 0.498, 0.507, 0.513, 0.516, 0.517]","[0.346, 0.379, 0.407, 0.431, 0.45, 0.465, 0.477, 0.485, 0.49, 0.493, 0.493]",0.001071,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",Both splits reached a similarly weak plateau near the end.,underfitting,"Both splits reached a weak plateau. Training and validation losses ended close together at 1.290 and 1.366, and neither metric exceeded 0.517.","Increase the training budget first, then try a model with more capacity if the plateau remains."
synthetic_v3_learning_rate_too_low_043,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.796, 1.787, 1.778, 1.769, 1.759, 1.75, 1.741, 1.731, 1.722, 1.713, 1.704, 1.694, 1.685, 1.676, 1.666]","[1.856, 1.848, 1.839, 1.831, 1.822, 1.814, 1.805, 1.796, 1.788, 1.779, 1.771, 1.762, 1.754, 1.745, 1.736]","[0.301, 0.306, 0.311, 0.317, 0.322, 0.327, 0.333, 0.338, 0.343, 0.348, 0.354, 0.359, 0.364, 0.37, 0.375]","[0.291, 0.295, 0.3, 0.305, 0.309, 0.314, 0.319, 0.323, 0.328, 0.333, 0.338, 0.342, 0.347, 0.352, 0.356]",3.1e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",A short pilot with a larger rate made more progress in the same number of epochs.,learning_rate_too_low,The curves moved in the right direction but very slowly: over 15 epochs training loss changed by just 0.130 and the metric changed by 0.074.,Try a learning rate ten times larger while keeping the other settings fixed.
synthetic_v3_underfitting_046,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[2.025, 1.879, 1.752, 1.644, 1.553, 1.478, 1.419, 1.374, 1.343, 1.323, 1.314, 1.311]","[2.075, 1.931, 1.806, 1.699, 1.61, 1.536, 1.478, 1.434, 1.403, 1.384, 1.374, 1.372]","[0.26, 0.298, 0.331, 0.36, 0.383, 0.403, 0.418, 0.43, 0.438, 0.443, 0.446, 0.447]","[0.253, 0.288, 0.32, 0.346, 0.368, 0.387, 0.401, 0.412, 0.42, 0.425, 0.427, 0.428]",0.001197,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",The same architecture was used for the complete experiment.,underfitting,"Both splits reached a weak plateau. Training and validation losses ended close together at 1.311 and 1.372, and neither metric exceeded 0.447.","Increase the training budget first, then try a model with more capacity if the plateau remains."
synthetic_v3_data_leakage_suspected_000,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[0.42, 0.315, 0.219, 0.136, 0.069, 0.027]","[0.38, 0.286, 0.201, 0.127, 0.067, 0.03]","[0.84, 0.879, 0.914, 0.944, 0.969, 0.984]","[0.88, 0.911, 0.94, 0.964, 0.984, 0.997]",0.001,"[1, 2, 3, 4, 5, 6]",A split audit found 255 identical samples in both the training and validation sets. Accuracy on a deduplicated holdout was 0.68.,data_leakage_suspected,"The split audit found 255 exact duplicates shared by the training and validation sets. Validation metric was 0.997, but the deduplicated holdout metric was 0.680.","Create a new clean split before preprocessing, remove the leakage source, and evaluate the same configuration on an untouched holdout set."
